DOEID,MULTSTV,MICRO,TOASTER,COFFEE,NUMFRIG,CWASHER,WASHLOAD,DRYER,NUMCFAN,TVCOLOR,BIGTV,DVD,PLAYSTA,TVONWD,TVONWE,STEREO,NUMPC,LAPTOPPC,PCTYPE1,PCPRINT,AIRCOND,LGT12,NOUTLGTNT,DOLLAREL
952,0,1,1,1,2,1,4,1,0,2,0,0,1,3,2,1,1,0,1,0,1,0,1,785
953,0,1,1,1,1,1,2,1,0,3,0,2,0,2,3,1,1,0,1,1,1,0,0,552
954,0,0,1,0,1,1,1,1,3,3,0,2,0,2,3,1,3,1,1,1,1,0,0,860
955,0,1,0,1,1,1,1,1,1,1,0,0,0,3,3,1,0,0,0,0,0,0,1,728
956,0,1,0,1,1,1,2,1,0,2,0,1,0,3,3,1,0,0,0,0,1,1,0,1202
957,0,1,0,1,1,0,0,0,5,3,1,1,0,2,3,1,1,0,1,1,1,0,1,986
958,0,1,0,0,1,1,3,1,5,5,0,1,1,2,2,1,1,0,1,1,1,0,0,1142
959,0,1,0,0,1,1,2,1,1,3,0,2,0,2,3,1,1,0,1,0,1,0,0,1392
960,0,1,0,1,2,1,2,1,2,6,0,0,0,3,3,1,0,0,0,0,1,0,0,883
961,0,1,1,1,2,1,3,1,2,3,0,2,1,2,2,1,1,0,1,1,1,0,0,772
962,0,1,1,0,1,1,3,1,4,4,1,1,1,3,3,1,1,0,1,1,1,1,0,1068
963,0,1,0,1,1,0,0,0,2,2,1,1,0,2,2,1,0,0,0,0,1,0,0,1943
964,0,1,0,0,2,1,2,1,0,2,0,1,0,3,3,1,2,1,2,1,1,0,0,1200
965,0,0,1,0,1,1,2,0,0,1,0,1,0,2,2,1,2,0,1,1,0,0,0,308
966,0,1,1,1,1,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,2,0,1095
967,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1152
968,0,1,1,1,1,1,3,1,2,2,1,3,1,3,3,1,1,0,1,1,1,1,0,851
969,0,0,0,0,1,0,0,0,2,1,0,1,0,1,3,1,0,0,0,0,1,0,0,199
970,1,1,1,1,1,1,3,1,2,1,1,0,0,3,3,1,2,1,1,1,1,0,2,1303
971,0,1,1,1,1,1,2,1,1,3,1,1,1,2,2,1,1,0,1,1,0,0,0,342
972,0,1,0,1,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,274
973,0,1,0,0,1,0,0,0,0,4,0,1,0,3,3,1,1,0,1,0,0,0,0,644
974,0,1,1,1,2,1,2,1,4,3,0,2,0,3,3,1,1,0,1,1,1,0,0,745
975,0,1,1,0,2,1,3,1,0,4,0,0,0,3,3,1,1,0,1,1,1,0,0,879
976,0,1,0,1,1,0,0,0,0,2,0,1,0,2,3,1,2,1,1,1,1,0,0,706
977,0,1,0,1,1,1,2,1,2,2,0,1,0,3,4,1,2,1,1,1,1,0,0,1024
978,0,1,0,1,1,1,2,1,0,1,0,1,1,1,2,1,0,0,0,0,1,0,0,911
979,0,0,0,0,1,1,2,0,0,2,1,2,1,2,3,1,2,1,1,1,0,0,0,646
980,0,1,0,0,1,0,0,0,0,2,0,1,0,2,2,1,0,0,0,0,1,0,0,1637
981,0,1,1,0,1,0,0,1,3,2,0,1,1,4,4,0,0,0,0,0,1,2,0,2320
982,0,1,1,1,1,1,2,1,2,2,1,2,0,3,3,1,1,0,1,1,1,1,0,1417
983,0,1,1,0,1,0,0,0,1,2,0,1,0,3,3,1,0,0,0,0,1,0,0,401
984,0,1,0,0,1,1,2,1,1,2,0,1,0,2,3,1,1,0,1,1,1,0,0,803
985,0,1,1,0,1,1,2,1,0,1,0,2,0,3,1,0,0,0,0,0,1,1,1,1269
986,0,1,0,0,1,1,5,1,1,2,0,1,1,3,3,0,0,0,0,0,1,0,0,1318
987,0,1,0,0,1,1,3,0,0,3,0,2,1,3,3,0,1,0,1,0,1,0,0,1444
988,1,1,0,1,1,1,3,1,2,2,1,1,0,2,3,1,1,0,1,1,0,0,0,1469
989,0,1,0,0,1,1,3,1,0,3,0,0,0,3,3,0,0,0,0,0,1,0,0,1493
990,0,1,0,0,2,1,2,1,0,2,0,0,0,3,3,1,1,0,1,1,0,0,1,1203
991,0,1,0,1,1,1,2,1,0,1,0,1,0,2,2,1,1,0,1,1,0,2,0,781
992,0,1,0,1,1,1,2,1,0,2,0,1,0,3,3,1,1,0,1,0,1,1,0,1118
993,0,1,0,0,1,0,0,0,0,2,0,1,1,4,4,0,0,0,0,0,1,1,0,690
994,0,1,0,1,1,1,3,1,1,2,0,2,1,2,3,1,2,0,1,1,1,0,0,1737
995,0,0,1,0,1,1,2,1,0,1,0,1,0,2,2,1,1,0,1,1,1,0,0,716
996,0,0,1,1,1,1,2,1,1,2,0,1,0,2,2,0,1,0,1,1,1,0,1,1610
997,0,1,0,0,1,0,0,0,2,1,0,1,1,3,4,0,1,1,2,1,1,1,0,458
998,0,1,0,0,1,1,2,1,2,6,1,4,1,2,3,1,1,0,1,0,1,3,2,2268
999,0,1,0,1,1,0,0,0,0,3,0,2,1,3,3,1,1,0,1,1,0,0,1,690
1000,0,1,0,0,1,0,0,0,0,2,0,0,0,2,1,1,1,0,1,1,1,0,0,224
1001,0,1,0,1,1,1,2,1,4,3,1,1,0,2,3,1,1,0,1,1,1,0,0,1441
1002,0,1,0,0,1,0,0,0,0,3,0,0,0,2,2,1,0,0,0,0,0,0,0,1591
1003,0,1,1,1,2,1,3,1,5,4,1,0,1,3,3,1,1,0,1,1,1,0,0,1513
1004,0,1,0,1,1,1,3,1,1,4,0,2,0,2,3,1,1,1,2,1,1,0,0,1766
1005,0,1,1,1,3,1,2,1,0,2,0,0,0,2,3,1,1,0,1,1,1,1,1,1224
1006,0,1,0,1,1,1,3,1,4,2,0,1,1,2,3,1,2,0,1,1,1,0,1,2756
1007,0,1,1,0,1,0,0,0,3,1,0,1,0,2,2,1,1,0,1,1,1,1,0,442
1008,0,1,0,1,1,1,3,1,4,5,1,3,1,3,2,0,1,1,2,1,1,0,0,1424
1009,0,1,1,0,1,1,3,1,4,2,0,1,0,2,3,1,2,0,1,1,1,1,0,1261
1010,0,1,0,1,2,1,3,1,5,3,1,11,1,2,2,0,1,1,2,0,1,0,0,731
1011,0,1,1,1,2,1,2,1,2,6,0,4,1,1,4,1,1,0,1,1,1,0,0,1439
1012,0,1,0,0,1,1,2,1,0,2,1,1,1,3,3,1,0,0,0,0,1,0,0,1324
1013,0,1,1,0,1,0,0,0,0,2,0,1,1,2,3,0,1,0,1,1,1,0,0,456
1014,0,1,0,0,1,1,2,1,1,1,0,0,0,3,2,1,0,0,0,0,0,0,1,368
1015,0,1,0,0,1,1,4,1,2,4,0,3,1,3,3,1,2,2,2,1,1,0,1,883
1016,1,1,0,1,1,1,3,1,3,2,0,1,0,1,1,1,1,0,1,1,1,0,0,1553
1017,0,1,1,0,1,1,2,1,4,2,0,1,0,2,2,1,2,1,1,1,1,0,1,538
1018,0,1,0,1,2,1,3,1,8,7,1,0,0,2,3,0,1,1,2,1,1,0,0,2491
1019,0,1,0,0,1,0,0,0,0,2,0,1,0,2,3,1,1,0,1,1,1,0,0,150
1020,0,1,0,0,1,1,3,1,0,2,0,2,1,2,3,1,1,0,1,1,1,0,0,1089
1021,0,1,0,1,1,1,2,1,1,2,1,1,0,1,1,0,2,1,1,1,1,0,0,509
1022,0,1,0,1,1,1,2,1,1,2,0,2,0,2,1,1,1,0,1,1,1,2,2,754
1023,0,1,1,0,2,1,2,1,3,2,1,1,0,2,3,1,2,1,2,1,1,0,0,1016
1024,0,0,0,0,1,1,2,1,2,2,0,1,0,3,3,1,0,0,0,0,0,0,0,1661
1025,0,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024
1026,0,1,1,1,1,1,3,1,0,3,0,2,1,3,3,1,1,0,1,1,1,1,0,2418
1027,0,1,1,1,1,1,3,1,2,4,1,2,0,3,3,1,4,2,1,1,1,1,0,1303
1028,0,1,1,1,1,1,1,1,1,2,0,0,0,4,4,1,0,0,0,0,1,3,0,869
1029,0,1,0,1,1,1,2,1,0,2,0,0,0,3,3,0,0,0,0,0,1,0,1,817
1030,0,1,1,0,1,1,2,1,1,2,0,1,0,3,3,1,1,0,1,1,0,0,3,900
1031,0,1,0,1,1,1,3,1,6,4,0,2,0,2,2,1,1,1,2,1,1,0,0,658
1032,0,1,1,0,2,1,2,0,2,2,0,1,0,2,2,0,1,0,1,1,1,0,0,477
1033,0,1,0,1,1,1,3,1,2,2,0,1,0,2,2,1,0,0,0,0,0,4,1,687
1034,0,1,1,1,1,1,3,0,0,2,0,2,0,1,1,1,0,0,0,0,1,0,0,690
1035,0,0,0,1,2,1,2,1,1,1,0,0,0,2,2,1,2,0,1,1,1,0,1,500
1036,0,1,0,1,1,1,3,1,2,2,0,0,1,2,3,1,3,3,2,1,0,1,2,445
1037,0,1,0,1,1,1,2,1,4,2,0,1,0,2,2,1,3,2,2,1,1,0,0,1095
1038,0,1,0,1,1,1,4,1,0,4,0,1,1,3,4,1,1,0,1,1,0,0,1,1196
1039,0,1,0,1,1,1,2,1,5,2,0,2,0,2,2,1,2,1,1,1,1,0,1,1139
1040,0,1,0,0,2,1,3,1,0,3,0,2,1,2,2,1,2,1,2,1,1,0,0,1336
1041,0,0,0,0,1,0,0,0,0,3,0,1,0,2,2,0,0,0,0,0,1,0,0,683
1042,0,1,0,0,1,1,2,1,0,5,0,2,0,3,4,1,1,0,1,1,1,0,0,939
1043,0,1,0,1,1,1,3,1,1,3,1,2,1,4,3,1,0,0,0,0,1,0,0,384
1044,1,1,0,1,2,1,3,1,2,2,0,0,0,3,1,0,0,0,0,0,0,0,1,926
1045,0,1,0,1,1,1,2,1,1,5,0,0,0,3,3,1,1,0,1,1,0,0,0,418
1046,0,1,0,0,1,1,2,1,0,1,0,0,0,3,3,0,0,0,0,0,1,1,1,229
1047,0,1,0,1,1,1,2,1,1,3,0,1,0,2,2,1,0,0,0,0,1,0,0,806
1048,0,1,1,0,1,1,3,1,0,3,1,0,1,3,3,0,0,0,0,0,1,0,0,1055
1049,0,1,0,1,2,1,3,1,1,2,0,1,0,2,3,1,1,0,1,1,0,0,0,1926
1050,0,0,0,0,1,1,3,1,3,2,0,2,0,4,4,1,0,0,0,0,1,0,0,806
1051,0,1,1,1,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,188
1052,0,1,0,1,1,1,3,1,3,4,0,1,0,2,2,0,1,1,2,1,1,2,0,1679
1053,0,1,0,1,1,1,5,1,1,4,0,2,1,3,3,1,1,0,1,1,1,0,1,1450
1054,0,1,1,0,1,1,3,1,0,2,0,1,0,3,3,0,1,0,1,0,1,0,0,679
1055,0,1,0,0,1,1,2,0,1,3,0,1,0,2,2,0,1,0,1,1,1,0,0,553
1056,0,1,0,1,1,1,2,1,0,2,0,1,0,2,2,1,1,0,1,1,1,0,0,635
1057,0,1,0,0,2,1,3,1,0,2,0,1,0,3,3,1,2,1,1,1,1,1,3,1828
1058,0,1,1,1,2,1,2,1,5,1,0,0,0,2,2,0,0,0,0,0,1,0,0,1105
1059,0,1,0,0,1,1,3,1,1,2,1,1,1,4,4,1,0,0,0,0,1,0,0,901
1060,0,1,0,1,1,1,2,1,1,2,0,1,0,3,3,1,1,0,1,1,1,0,0,2304
1061,0,1,0,0,1,1,3,1,8,2,0,2,1,3,3,1,2,0,1,1,1,5,0,1270
1062,0,1,1,0,1,0,0,0,1,3,0,3,1,3,3,1,1,0,1,0,1,0,0,442
1063,0,1,0,0,1,1,2,1,0,1,0,1,1,1,2,1,2,1,2,1,1,2,0,931
1064,0,1,0,1,1,1,2,0,3,3,0,0,0,3,2,0,0,0,0,0,1,0,0,872
1065,0,1,1,1,1,1,3,1,4,2,1,1,1,3,3,1,1,0,1,1,1,0,5,831
1066,0,1,0,1,3,1,2,1,6,3,1,1,1,3,3,1,2,1,1,1,1,0,0,3508
1067,1,0,1,0,2,1,1,1,3,4,0,0,0,3,3,0,1,0,1,0,1,0,0,833
1068,0,1,1,1,1,1,3,1,0,4,1,1,0,3,3,1,1,0,1,1,1,0,1,1321
1069,0,0,0,1,1,1,2,0,4,1,0,0,0,2,2,0,1,0,1,1,1,0,0,529
1070,0,1,0,1,1,1,3,1,2,3,0,3,1,3,3,1,1,0,1,1,1,1,0,1610
1071,0,1,0,1,1,1,4,1,3,4,0,0,0,3,3,0,1,0,1,1,1,0,2,1814
1072,0,1,0,1,1,1,2,1,2,4,0,1,1,2,2,1,1,0,1,1,1,0,0,973
1073,1,1,0,1,2,1,4,1,4,4,2,1,0,4,4,0,1,1,2,1,1,0,0,2371
1074,0,1,0,1,1,1,2,1,6,3,1,1,0,3,3,1,1,0,1,1,1,0,0,1203
1075,0,1,0,0,1,1,3,1,3,3,1,2,1,3,4,1,1,0,1,1,1,2,0,1936
1076,0,1,0,1,1,1,4,1,2,5,0,1,1,3,3,1,2,0,1,1,1,0,0,1204
1077,0,1,0,0,2,1,4,1,7,5,1,1,1,3,3,1,2,1,2,1,1,0,0,1666
1078,0,1,0,1,1,1,3,1,2,1,0,1,1,4,4,0,0,0,0,0,1,0,0,1647
1079,0,0,0,1,1,1,2,1,0,2,0,1,0,2,2,1,0,0,0,0,1,1,0,666
1080,0,1,1,1,2,1,4,1,1,5,1,2,0,2,3,1,2,1,1,1,1,1,0,2171
1081,0,1,0,1,1,0,0,0,0,2,1,1,0,3,3,1,0,0,0,0,1,0,0,758
1082,0,0,0,0,1,1,1,0,0,2,0,2,0,3,3,1,1,1,2,0,1,1,0,371
1083,0,1,1,0,1,1,2,1,0,1,0,0,0,2,2,0,0,0,0,0,1,0,4,909
1084,0,1,0,1,1,1,3,1,5,2,0,0,0,2,2,1,0,0,0,0,1,0,2,889
1085,0,1,1,1,2,1,2,1,6,4,1,1,1,3,3,1,2,1,1,1,1,0,0,3107
1086,0,1,1,0,2,1,2,1,1,3,0,1,1,2,2,0,1,0,1,1,1,2,1,1133
1087,0,1,0,1,2,1,3,1,4,5,1,2,1,2,3,1,5,3,1,1,1,0,0,1468
1088,0,1,0,1,1,1,3,1,5,3,0,2,1,2,3,0,2,0,1,1,1,0,0,1104
1089,0,1,1,1,3,1,3,1,1,2,0,1,0,3,3,0,2,0,1,1,1,0,3,1310
1090,0,1,1,0,1,0,0,0,1,2,0,1,0,3,3,1,1,0,1,1,1,1,0,968
1091,0,1,0,1,2,1,2,1,5,2,2,1,0,2,2,1,1,0,1,1,1,0,0,531
1092,0,1,1,1,2,1,2,1,3,2,0,2,1,2,3,1,4,2,2,1,1,0,0,1579
1093,0,1,1,1,1,1,3,1,0,3,0,2,1,3,3,1,1,0,1,1,1,2,0,1537
1094,0,1,0,1,1,0,0,0,1,2,0,1,0,3,3,1,0,0,0,0,1,0,0,393
1095,0,1,0,0,1,1,1,1,4,2,1,1,0,4,4,1,0,0,0,0,1,3,0,968
1096,0,1,0,1,1,1,3,1,0,3,0,0,1,2,3,1,1,0,1,1,1,0,0,857
1097,0,1,0,1,1,1,3,1,2,3,0,2,0,2,3,1,2,0,1,1,1,0,0,1536
1098,0,1,0,0,1,1,2,1,4,2,0,0,0,3,3,1,0,0,0,0,1,0,1,643
1099,0,1,1,1,2,1,2,1,3,2,1,1,0,2,3,1,1,0,1,1,1,0,2,2010
1100,0,1,0,1,1,1,4,1,0,6,2,2,1,3,3,1,3,1,2,1,1,0,3,2076
1101,0,1,0,1,1,1,3,1,2,4,0,2,1,3,3,1,1,0,1,0,1,2,2,1945
1102,0,1,0,0,1,1,2,1,3,3,1,2,1,4,4,1,1,0,1,1,0,0,0,324
1103,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,1,0,884
1104,0,1,1,1,2,1,2,1,5,3,1,2,1,2,3,1,4,1,2,1,1,4,2,2773
1105,0,1,0,0,1,1,5,1,3,2,0,1,1,3,3,1,2,1,1,1,1,0,1,2590
1106,0,1,1,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,491
1107,0,1,0,0,1,1,2,1,0,1,0,1,0,1,2,1,1,0,1,1,1,0,0,434
1108,0,1,0,1,1,1,2,1,2,2,0,1,0,3,3,1,0,0,0,0,1,0,0,1137
1109,0,1,0,0,1,1,5,0,2,3,1,1,1,4,4,1,0,0,0,0,1,0,0,846
1110,0,1,0,1,1,1,2,1,4,1,0,0,0,2,2,0,0,0,0,0,1,0,0,1423
1111,0,1,1,0,1,1,2,1,1,3,1,1,0,2,3,1,1,0,1,1,1,0,0,866
1112,0,1,0,1,1,1,2,1,0,4,1,3,0,3,2,1,1,1,2,1,1,2,0,1734
1113,0,0,0,1,1,1,3,1,0,3,0,1,0,3,3,1,0,0,0,0,1,0,0,874
1114,0,0,0,1,1,1,3,1,3,1,0,0,0,1,1,0,0,0,0,0,1,1,2,1011
1115,0,1,0,1,1,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1537
1116,0,1,0,1,2,1,3,1,6,4,1,4,0,2,3,1,3,1,1,1,1,0,0,4470
1117,0,1,0,1,2,1,2,1,0,1,1,1,0,2,2,0,1,0,1,1,1,0,0,608
1118,0,1,1,0,1,0,0,0,0,3,0,0,0,2,2,1,1,0,1,1,1,0,0,660
1119,0,1,1,1,2,1,3,1,4,1,1,2,0,3,3,1,1,1,2,1,1,0,1,1474
1120,0,1,0,0,2,1,4,1,5,3,1,1,0,2,3,1,1,0,1,1,1,0,1,1669
1121,0,1,0,1,2,1,3,1,8,4,0,3,0,3,3,1,2,0,1,1,1,0,0,2921
1122,0,1,0,0,1,1,3,1,3,5,1,3,1,2,2,1,3,1,2,0,1,0,0,830
1123,0,1,0,0,1,0,0,0,0,1,1,1,1,3,3,0,0,0,0,0,1,0,0,575
1124,0,1,1,0,2,1,4,1,7,5,0,3,1,3,3,1,2,0,1,1,1,1,0,1343
1125,0,1,0,1,1,1,2,1,3,1,0,1,0,3,3,1,1,0,1,1,1,1,0,1291
1126,0,1,1,1,1,1,2,1,3,3,1,1,0,3,3,1,0,0,0,0,0,0,1,648
1127,0,1,1,1,2,1,3,1,2,6,0,1,0,3,3,1,1,0,1,1,1,0,0,1157
1128,0,0,0,1,1,1,2,1,5,4,1,2,1,2,3,1,2,0,1,1,1,0,0,809
1129,0,1,0,0,1,1,2,1,2,2,1,1,1,2,4,0,0,0,0,0,0,0,1,515
1130,0,1,0,1,1,1,2,1,4,3,2,1,0,2,2,1,1,0,1,1,1,0,0,618
1131,0,1,0,1,2,1,3,1,8,4,0,1,0,3,3,1,2,0,1,1,1,0,0,2947
1132,0,1,1,0,2,1,3,1,0,4,0,2,0,3,3,0,1,0,1,1,1,1,5,3884
1133,0,1,0,0,1,1,2,1,4,3,0,3,0,2,2,1,2,1,2,1,1,0,0,1277
1134,0,0,0,1,1,1,2,1,0,3,0,1,1,2,2,1,0,0,0,0,0,0,0,773
1135,0,1,1,0,1,1,1,1,2,2,0,1,0,3,3,1,0,0,0,0,1,0,0,501
1136,0,0,1,1,1,1,3,1,5,3,0,1,0,2,3,1,1,1,2,0,1,0,0,2340
1137,0,1,1,1,1,1,3,1,6,5,0,3,1,3,4,1,2,1,2,1,1,5,1,2751
1138,0,1,0,1,1,1,2,1,1,3,0,2,1,4,4,1,0,0,0,0,1,1,0,1868
1139,0,1,0,0,1,1,2,1,0,1,0,1,0,3,3,0,1,0,1,1,1,0,0,896
1140,0,0,1,0,1,1,3,1,0,4,3,2,0,3,2,1,0,0,0,0,1,1,0,1566
1141,0,1,0,1,1,1,5,1,5,4,0,2,1,2,3,1,3,2,1,1,1,0,2,886
1142,0,1,0,1,1,1,3,1,1,4,0,2,1,3,3,1,0,0,0,0,1,1,2,1182
1143,0,1,1,1,2,1,2,1,2,4,0,1,0,3,3,0,1,0,1,1,1,6,0,1652
1144,0,1,0,1,1,1,2,1,1,3,1,0,0,2,3,1,1,0,1,1,1,0,0,1212
1145,0,1,0,0,1,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,399
1146,0,1,1,1,1,1,3,1,0,4,1,1,0,2,3,0,3,1,1,1,1,0,3,931
1147,0,1,0,1,1,1,2,1,0,1,0,1,0,2,2,0,1,1,2,1,1,1,0,432
1148,0,1,0,1,1,1,3,0,0,3,1,2,0,3,3,1,2,2,2,1,1,0,0,1628
1149,0,1,0,1,1,1,2,1,1,2,0,1,1,2,2,1,1,0,1,1,1,0,0,1027
1150,0,1,1,0,1,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,299
1151,0,1,0,1,1,0,0,0,1,2,0,0,0,3,3,0,0,0,0,0,1,0,0,520
1152,0,1,1,0,1,1,3,1,4,4,0,1,1,3,4,1,2,0,1,1,1,1,0,998
1153,0,1,0,1,2,1,2,1,8,1,0,1,0,1,2,1,1,0,1,1,1,0,1,3102
1154,0,1,0,1,1,1,3,1,1,3,1,0,1,3,3,0,2,0,1,1,1,1,0,997
1155,0,1,0,1,1,1,3,1,4,4,1,2,1,2,3,1,3,1,2,1,1,0,1,2313
1156,0,1,1,1,1,1,2,1,5,5,0,1,0,2,2,1,2,1,1,1,1,0,3,1147
1157,0,1,1,1,1,1,3,1,0,3,0,1,1,2,3,1,1,0,1,1,1,0,0,497
1158,0,1,0,1,1,1,4,1,0,2,0,1,1,2,3,1,1,0,1,1,1,0,0,846
1159,0,1,1,1,1,1,1,1,0,2,0,1,1,2,2,1,0,0,0,0,1,1,0,384
1160,0,1,0,1,2,1,4,1,4,4,1,3,1,2,3,1,2,1,1,1,1,0,2,2443
1161,0,1,0,0,1,1,2,1,1,1,0,1,0,2,3,1,1,1,2,1,1,0,0,364
1162,0,1,0,0,1,1,2,1,2,2,0,1,0,4,3,1,1,1,2,1,1,0,1,1942
1163,0,1,0,1,1,1,2,1,3,2,0,1,0,2,1,1,2,0,1,1,0,8,0,962
1164,0,1,0,0,1,0,0,0,1,2,0,0,0,3,4,1,0,0,0,0,1,1,0,924
1165,0,0,0,1,1,1,3,1,1,3,0,2,1,3,3,1,1,1,2,1,1,0,2,692
1166,0,1,1,1,1,1,3,1,6,1,0,1,0,2,3,1,0,0,0,0,1,0,0,766
1167,0,1,0,0,0,1,2,1,4,3,0,1,0,2,2,1,0,0,0,0,1,0,1,1059
1168,0,1,1,1,1,1,3,1,4,2,0,1,0,2,2,1,3,1,2,1,1,0,0,1748
1169,0,1,0,1,1,1,3,1,3,2,1,1,0,3,3,0,0,0,0,0,1,0,1,1562
1170,0,1,1,1,1,1,3,1,0,2,0,1,0,3,2,1,1,0,1,1,1,0,0,345
1171,0,1,0,1,1,1,2,1,1,2,1,2,0,4,4,1,1,0,1,1,1,0,0,746
1172,0,1,1,1,1,1,3,1,0,4,1,4,1,2,2,1,2,0,1,1,1,2,0,1780
1173,0,1,0,1,3,1,3,1,1,4,1,1,0,2,3,1,1,1,2,1,1,0,0,2621
1174,0,1,0,1,1,1,2,1,2,3,1,1,0,2,2,0,1,0,1,1,1,0,0,812
1175,0,1,0,1,2,1,3,1,4,3,0,1,1,3,2,1,3,1,1,1,1,0,0,1101
1176,0,1,0,1,1,1,3,1,7,5,1,0,0,2,2,1,1,0,1,1,1,0,0,1661
1177,0,1,1,1,2,1,5,1,1,5,1,2,1,2,2,1,1,0,1,1,1,0,0,3009
1178,0,1,0,1,1,1,2,1,5,3,0,2,1,3,3,1,2,1,1,1,1,2,0,2234
1179,0,0,0,1,1,1,2,0,1,2,1,1,0,3,3,0,1,0,1,1,1,0,0,1237
1180,0,1,0,1,1,0,0,0,0,2,0,1,1,1,3,1,1,0,1,1,1,0,0,816
1181,0,1,1,1,1,1,3,1,2,2,0,1,0,2,2,1,1,0,1,1,1,0,0,611
1182,0,1,1,0,1,1,4,1,1,2,1,2,1,2,3,0,0,0,0,0,1,0,0,1160
1183,0,1,0,1,2,1,3,1,6,3,0,1,0,3,3,1,3,1,1,0,1,2,1,2201
1184,0,1,1,1,2,1,5,1,5,5,0,4,1,3,3,1,2,1,2,1,1,0,0,2389
1185,0,1,0,0,1,1,2,1,5,1,0,1,0,2,3,1,2,0,1,1,1,0,1,859
1186,0,1,0,1,2,1,3,1,5,4,0,1,0,2,2,1,1,0,1,1,1,0,1,642
1187,0,1,0,1,1,1,3,1,1,2,1,2,0,3,3,1,1,0,1,1,0,0,0,659
1188,0,1,0,1,1,1,3,1,1,2,0,1,0,3,3,1,1,0,1,1,1,1,2,1130
1189,0,1,0,1,1,1,3,1,4,3,1,2,1,3,3,1,2,1,2,1,1,3,2,1736
1190,1,1,1,1,2,1,3,1,0,4,0,1,0,3,3,1,1,1,2,1,1,1,0,976
1191,0,1,1,0,1,1,3,1,2,5,0,3,1,3,3,1,2,0,1,1,1,0,1,1053
1192,0,1,1,1,1,1,2,1,2,1,1,1,0,3,4,0,2,1,1,1,0,0,0,1394
1193,0,1,1,1,1,0,0,0,1,2,1,0,0,4,4,1,1,0,1,1,1,1,0,458
1194,0,1,0,0,1,1,3,1,4,11,0,2,0,3,3,1,1,0,1,0,1,1,0,1856
1195,0,1,1,1,1,1,2,1,0,3,1,2,0,3,2,1,0,0,0,0,1,1,1,1084
1196,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,0,1,0,0,189
1197,0,1,0,1,1,1,2,1,3,1,0,1,1,3,3,0,1,1,2,1,1,0,0,870
1198,0,1,0,1,1,1,2,1,1,1,0,0,0,4,4,1,1,1,2,0,0,1,1,315
1199,0,0,1,0,1,1,3,1,5,3,1,3,1,3,3,1,1,0,1,1,1,0,0,465
1200,0,1,0,1,1,1,2,1,0,4,0,0,0,3,3,1,1,0,1,1,1,2,0,1025
1201,0,1,0,0,1,1,2,1,1,2,0,1,0,4,4,1,1,1,2,0,0,1,0,443
1202,0,0,0,0,1,0,0,0,0,2,0,1,0,2,2,1,0,0,0,0,1,0,0,164
1203,0,1,0,0,1,1,3,1,1,1,1,1,0,2,2,1,0,0,0,0,1,0,0,395
1204,0,1,1,0,1,0,0,0,1,2,0,1,1,3,3,1,0,0,0,0,1,0,0,354
1205,0,1,1,1,1,0,0,0,0,1,0,1,0,2,2,1,1,0,1,1,1,2,0,657
1206,0,1,1,0,2,1,3,1,8,3,1,1,0,2,2,1,1,0,1,1,1,0,0,2195
1207,0,1,0,1,1,1,1,1,6,2,0,0,0,3,3,0,0,0,0,0,1,1,0,862
1208,0,1,0,1,1,1,5,1,5,4,1,1,1,3,3,0,1,0,1,1,1,2,0,1514
1209,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,0,1,0,1,0,0,0,0,1046
1210,0,1,1,0,1,1,1,0,1,1,0,0,0,3,3,0,0,0,0,0,1,0,0,495
1211,0,1,1,0,1,1,3,1,0,1,0,1,1,3,3,1,1,1,2,0,1,1,0,2056
1212,0,1,0,1,3,1,3,1,3,7,3,4,1,2,3,1,3,1,2,1,1,0,1,1415
1213,0,1,0,0,1,1,4,1,1,3,0,1,0,3,3,1,2,0,1,1,0,0,1,881
1214,0,1,0,0,1,1,3,1,0,3,0,1,1,3,4,1,1,0,1,0,1,0,0,1673
1215,0,1,1,1,2,1,2,1,5,4,1,2,0,2,2,1,0,0,0,0,1,0,0,1070
1216,0,1,0,1,1,1,2,1,0,4,0,3,0,3,3,1,1,1,2,1,0,0,0,784
1217,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,270
1218,0,1,1,0,1,1,4,1,1,4,0,1,1,2,3,1,1,0,1,1,0,0,1,694
1219,0,1,1,0,1,1,2,1,0,2,0,1,0,2,2,1,1,0,1,1,1,0,0,482
1220,0,0,0,1,1,1,5,1,3,4,1,2,0,3,2,1,1,0,1,1,1,0,0,1325
